"collection_name","product_authority","constant_keys","observed_operations","source_file_count","source_files","evidence_locations","evidence_sha256","current_reviewed_source_count","unreviewed_source_files","review_status","ownership_model","rules_status","index_status","findings"
"_health","MenuList/shared","DB_COLLECTIONS.HEALTH | FUNCTIONS_DB_COLLECTIONS.HEALTH","constant definition | reference","2","functions/src/constants/database.ts | functions/src/schedulers/aiProviderHealth.ts","functions/src/schedulers/aiProviderHealth.ts:85 | functions/src/constants/database.ts:0","40da2c32864dfd71106e3a927a8a7ae5a64b9ea690bd569ea1a422b2b90eba47","1","functions/src/constants/database.ts","in-progress","MenuList internal Admin-only provider-health state. The daily maintenance task is the sole producer and exact-replaces `_health/aiProvider_gemini` with one bounded success or failure shape after the Gemini smoke check. No browser, public DTO, cache, Redux, SWR, local-storage, billing, queue or webhook consumer exists.","No explicit client rule path exists, so the root default deny blocks every browser read/write. The sole producer uses the MenuList Admin SDK from the scheduled Functions runtime after fixed-model provider execution.","One deterministic exact-document replacement only; no collection query, composite index or TTL policy is required.","AUDIT-AI-PROVIDER-HEALTH-MERGE-001 | AUDIT-COLLECTION-HEALTH-RETIRED-PRODUCER-METADATA-001"
"_system","MenuList/shared | SignalDesk","DB_COLLECTIONS.SYSTEM | FUNCTIONS_DB_COLLECTIONS.SYSTEM | SIGNALDESK_FUNCTIONS_COLLECTIONS.SYSTEM","constant definition | read/query | reference | transaction/batch","6","functions-signaldesk/src/constants/database.ts | functions/src/billing/reconcileSubscriptions.ts | functions/src/constants/database.ts | functions/src/decisionBlocksScoring.ts | functions/src/monitoring/publishVerification.ts | functions/src/schedulers/menulistMaintenanceScheduler.ts","functions/src/billing/reconcileSubscriptions.ts:556 | functions/src/decisionBlocksScoring.ts:492 | functions/src/decisionBlocksScoring.ts:568 | functions/src/monitoring/publishVerification.ts:248 | functions/src/schedulers/menulistMaintenanceScheduler.ts:331 | functions/src/schedulers/menulistMaintenanceScheduler.ts:363 | functions/src/schedulers/menulistMaintenanceScheduler.ts:415 | functions/src/schedulers/menulistMaintenanceScheduler.ts:416 | functions/src/schedulers/menulistMaintenanceScheduler.ts:2805 | functions/src/constants/database.ts:0 | functions-signaldesk/src/constants/database.ts:0","ecfa5e61fc12d78aa3f74bf5907080cd23d43fa84f8eb537c50bbed750329a8a","2","functions/src/billing/reconcileSubscriptions.ts | functions/src/constants/database.ts | functions/src/decisionBlocksScoring.ts | functions/src/schedulers/menulistMaintenanceScheduler.ts","in-progress","Separate Admin-only coordination families in the MenuList and SignalDesk Firebase projects. MenuList owns per-task maintenance leases/state, one platform-daily lease and one paged subscription-reconciliation cursor. SignalDesk owns product-bound scheduler leases/state plus transactional target-lifecycle and AI-detail backfill cursors; SignalDesk rows require pId SD","No explicit client path in either product ruleset; unmatched browser reads/writes are denied. Every observed producer/consumer uses its product-local Admin SDK","Every _system operation is an exact document read/write/delete or transaction; no query, composite index, single-field exemption or TTL policy is required","AUDIT-SCHEDULER-LEASE-OWNERSHIP-001 | AUDIT-COLLECTION-CATALOG-CONSTANT-SCOPE-001 | AUDIT-BILLING-RECONCILIATION-ENTITLEMENT-RECOVERY-001 | AUDIT-BILLING-RECONCILIATION-CURSOR-CLEANUP-001"
"agencyClientLinks","CampaignCue","CAMPAIGNCUE_COLLECTIONS.AGENCY_CLIENT_LINKS","constant definition | security-rule","2","firestore-campaigncue.rules | src/constants/campaigncue/database.ts","firestore-campaigncue.rules:127 | src/constants/campaigncue/database.ts:0","5b037438c68d8233c2a5030812eb3f8b40f9126c2b61992706c7d1601a887d1e","0","firestore-campaigncue.rules | src/constants/campaigncue/database.ts","in-progress","Reserved CampaignCue workspace subcollection identity only; no current producer, consumer, query, route, job or deployed document contract exists","Only active durable CampaignCue workspace members with exact CC/tenant/store scope may read if a future server producer creates rows; every client write is denied and the dedicated emulator rejects same-scope nonmembers","No active query, composite index or TTL policy exists or is justified","AUDIT-CAMPAIGNCUE-FIREBASE-RULES-001 | AUDIT-CC-CLIENT-WORKSPACE-MEMBERSHIP-001"
"ai","Answerlattice | MenuList/shared","ANSWERLATTICE_FUNCTIONS_DB_COLLECTIONS.AI | DB_COLLECTIONS.AI | FUNCTIONS_DB_COLLECTIONS.AI","constant definition | delete | read/query | reference | security-rule | transaction/batch | write","15","firestore-answerlattice.rules | firestore.rules | functions-answerlattice/src/answerlattice/chatIntelligence.ts | functions-answerlattice/src/constants/database.ts | functions/src/analytics/feedbackIntelligence.ts | functions/src/analytics/weeklyNarrative.ts | functions/src/constants/database.ts | scripts/verification/test-answerlattice-chat-analytics-rules.ts | scripts/verification/test-answerlattice-chat-analytics-scheduler.ts | src/app/api/analytics/weekly-narrative/generate-local/route.ts | src/components/templates/answerlattice/weeklyDigest/AnswerlatticeWeeklyDigest.tsx | src/components/templates/platform/chatManagement/WeeklyDigest.tsx | src/constants/database.ts | src/lib/analytics/dal.ts | src/lib/answerlattice/workspaceLifecycleServer.ts","firestore-answerlattice.rules:274 | firestore.rules:985 | functions-answerlattice/src/answerlattice/chatIntelligence.ts:41 | functions-answerlattice/src/answerlattice/chatIntelligence.ts:348 | functions/src/analytics/feedbackIntelligence.ts:229 | functions/src/analytics/weeklyNarrative.ts:305 | scripts/verification/test-answerlattice-chat-analytics-rules.ts:34 | scripts/verification/test-answerlattice-chat-analytics-rules.ts:37 | scripts/verification/test-answerlattice-chat-analytics-rules.ts:40 | scripts/verification/test-answerlattice-chat-analytics-rules.ts:77 | scripts/verification/test-answerlattice-chat-analytics-rules.ts:78 | scripts/verification/test-answerlattice-chat-analytics-rules.ts:81 | scripts/verification/test-answerlattice-chat-analytics-rules.ts:82 | scripts/verification/test-answerlattice-chat-analytics-rules.ts:83 | scripts/verification/test-answerlattice-chat-analytics-rules.ts:84 | scripts/verification/test-answerlattice-chat-analytics-rules.ts:85 | scripts/verification/test-answerlattice-chat-analytics-rules.ts:86 | scripts/verification/test-answerlattice-chat-analytics-rules.ts:87 | scripts/verification/test-answerlattice-chat-analytics-rules.ts:88 | scripts/verification/test-answerlattice-chat-analytics-rules.ts:89 | scripts/verification/test-answerlattice-chat-analytics-scheduler.ts:213 | scripts/verification/test-answerlattice-chat-analytics-scheduler.ts:214 | src/app/api/analytics/weekly-narrative/generate-local/route.ts:296 | src/components/templates/answerlattice/weeklyDigest/AnswerlatticeWeeklyDigest.tsx:126 | src/components/templates/platform/chatManagement/WeeklyDigest.tsx:64 | src/lib/analytics/dal.ts:148 | src/lib/analytics/dal.ts:157 | src/lib/answerlattice/workspaceLifecycleServer.ts:796 | src/constants/database.ts:0 | functions/src/constants/database.ts:0 | functions-answerlattice/src/constants/database.ts:0","a00b13446aec3c8c302afa1c589071fb97afbec2e2a8d07f0b0d316e6d4d1ce2","8","firestore-answerlattice.rules | firestore.rules | functions-answerlattice/src/constants/database.ts | functions/src/constants/database.ts | scripts/verification/test-answerlattice-chat-analytics-rules.ts | src/components/templates/answerlattice/weeklyDigest/AnswerlatticeWeeklyDigest.tsx | src/constants/database.ts","in-progress","Answerlattice | MenuList/shared collection family. Current reverse evidence records 15 first-party source files and the observed operation set [constant definition | delete | read/query | reference | security-rule | transaction/batch | write]. The exact producer, reader, rule, index and verifier locations are enumerated in this catalog row; product and tenant authority remain governed by those current reviewed call sites rather than by an inferred cross-product fallback.","A current explicit Firestore rule path is present in the catalog evidence and its complete rules source is reviewed. Trusted Admin callers still perform their own product and scope admission because Admin SDK access bypasses client rules.","All current query sites and applicable index configuration are included in the current evidence fingerprint. Exact limits, ordering and composite requirements remain defined by those reviewed callers and index files.",""
"aiCreditTransactions","MenuList/shared","AI_OPERATIONS_COLLECTIONS.AI_CREDIT_TRANSACTIONS","constant definition","1","src/constants/database.ts","src/constants/database.ts:0","c2453755af39a50c75751b5b4c5964d4d2d01eae8b9e26ba34504903683d680a","0","src/constants/database.ts","in-progress","Reserved legacy MenuList AI-operation collection name only; no active reader, writer, query, route, job or persisted contract references this standalone collection","No explicit client rule path; root default deny applies. Any future activation requires a new scoped ownership and runtime-validation review","No active query, document or retention path exists; no index or TTL policy is justified",""
"aiHelpCenterFeedback","MenuList/shared","DB_COLLECTIONS.AI_HELP_CENTER_FEEDBACK","constant definition | security-rule | write","3","firestore.rules | scripts/verification/test-tenant-store-scoped-rules.ts | src/constants/database.ts","firestore.rules:1184 | scripts/verification/test-tenant-store-scoped-rules.ts:332 | src/constants/database.ts:0","8ccf4204f980f37fda96f7885060ef16f54043a61bc183ecc70cadfea9d6f4b9","0","firestore.rules | scripts/verification/test-tenant-store-scoped-rules.ts | src/constants/database.ts","in-progress","Reserved dormant MenuList help-feedback collection name only; no active application reader, writer, query, route, job, retention owner or persisted contract exists","The dedicated Firestore rule now denies every client read and write. Any future activation requires an explicit tenant/store ownership contract, validated producer and consumer, retention policy and emulator coverage","No active query or retention path exists; no composite index, field exemption or TTL policy is justified","AUDIT-AI-HELP-CENTER-FEEDBACK-DORMANT-WRITE-001"
"aiImagePromptCache","MenuList/shared","DB_COLLECTIONS.AI_IMAGE_PROMPT_CACHE | FUNCTIONS_DB_COLLECTIONS.AI_IMAGE_PROMPT_CACHE","cache/derived-state | constant definition | read/query","5","functions/src/constants/database.ts | functions/src/schedulers/menulistMaintenanceScheduler.ts | scripts/verification/verify-ai-accounting-hardening.js | src/constants/database.ts | src/lib/ai/imageGenerationPromptCache.ts","functions/src/schedulers/menulistMaintenanceScheduler.ts:1191 | scripts/verification/verify-ai-accounting-hardening.js:194 | src/lib/ai/imageGenerationPromptCache.ts:100 | src/constants/database.ts:0 | functions/src/constants/database.ts:0","72a738690174361dd94328ba9341d784fba2843a3b7970bebd30247a04225f9a","1","functions/src/constants/database.ts | functions/src/schedulers/menulistMaintenanceScheduler.ts | scripts/verification/verify-ai-accounting-hardening.js | src/constants/database.ts","in-progress","MenuList global server-only content-addressed image cache. The batch image route derives the SHA-256 key from exact model, normalized non-reference one-image generation config, schema version and raw prompt but persists only bounded prompt length and generated-media metadata. Fresh hits validate version/path/MIME/size/magic bytes, then copy bytes into a new requesting tenant/store-owned media object; they never reuse another store's URL. Writes use immutable versioned cache source objects plus one transaction-serialized active document. No browser, public DTO, Redux, SWR or local-storage consumer can address the cache directly.","No explicit Firestore or Storage cache match exists, so both root default-deny rules block every browser read/write. The Next.js server route uses Admin SDK after the owning batch-generation auth/scope pipeline; the maintenance Function uses Admin SDK only. Raw prompts are never persisted.","Exact SHA-256 document reads/writes use no composite. The hourly cleanup performs one bounded `expiresAt <= now` ordered query using the automatic single-field index, probes at most 26 rows, deletes at most 25 exact immutable source objects and conditionally deletes transaction-current matching expired documents. Coordinated deletion intentionally replaces Firestore TTL because Storage bytes must be removed first.","AUDIT-AI-PROMPT-CACHE-CLEANUP-RACE-001 | AUDIT-AI-PROMPT-CACHE-STAGED-SOURCE-ORPHAN-001"
"aiMenuManagerProposals","MenuList/shared","DB_COLLECTIONS.AI_MENU_MANAGER_PROPOSALS","cache/derived-state | constant definition | index definition | reference | security-rule | write","7","firestore.indexes.json | firestore.rules | scripts/verification/test-ai-menu-manager-emulator.ts | scripts/verification/test-ai-menu-manager-rules.ts | scripts/verification/verify-ai-menu-manager.js | src/constants/database.ts | src/database/aiMenuManager/server.ts","firestore.indexes.json:3158 | firestore.rules:144 | scripts/verification/test-ai-menu-manager-emulator.ts:268 | scripts/verification/test-ai-menu-manager-emulator.ts:303 | scripts/verification/test-ai-menu-manager-emulator.ts:322 | scripts/verification/test-ai-menu-manager-emulator.ts:384 | scripts/verification/test-ai-menu-manager-emulator.ts:390 | scripts/verification/test-ai-menu-manager-emulator.ts:403 | scripts/verification/test-ai-menu-manager-emulator.ts:412 | scripts/verification/test-ai-menu-manager-rules.ts:181 | scripts/verification/verify-ai-menu-manager.js:1774 | scripts/verification/verify-ai-menu-manager.js:447 | scripts/verification/verify-ai-menu-manager.js:1759 | src/database/aiMenuManager/server.ts:62 | src/constants/database.ts:0","337ebbb40304a7d50fe0c2541f69def3f8a975f8d15bf376870a69b6853d7e9b","3","firestore.indexes.json | firestore.rules | scripts/verification/verify-ai-menu-manager.js | src/constants/database.ts","in-progress","MenuList server/Admin-only, exact tenant/store/project-scoped AI Menu Manager proposal and operation ledger. The protected command route derives selected-store scope from the authenticated session, checks MANAGE_MENU, builds a deterministic proposal ID from tenant/store/project/action/idempotency/patch identity, and transactionally writes one canonical proposal plus its compact session pointer. Protected action/completion routes independently re-establish store permission and persisted tenant/store/project/action identity before transaction-current approval, execution locking or terminal receipt settlement.","The dedicated /aiMenuManagerProposals/{proposalId} path denies every browser read and write. The authenticated rules emulator proves a valid owner cannot create a proposal row. Admin reads and mutations normalize exact document identity, closed proposal/card/patch/directive/receipt state, tenant/store/project scope and session linkage before use. The collection remains conservatively in-progress because the complete current shared rules file has not yet regained a whole-file current review fingerprint.","Exact deterministic document references serve create/retry/read/mutation. Inbox hydration reads at most 25 deduplicated IDs from the already scoped compact session with getAll and rechecks every proposal/session/card scope; it performs no proposal collection query. Native expiresAt TTL is declared for the 45-day creation retention contract. The current shared index file changed after its last full-file review, so its complete current contract remains a review blocker rather than being falsely closed from this relevant-range inspection.","AUDIT-AI-MENU-PROPOSAL-HYDRATION-SCOPE-001 | AUDIT-AI-MENU-PROPOSAL-TRANSACTION-001 | AUDIT-AI-MENU-COMMAND-RETRY-IDENTITY-001 | AUDIT-AI-MENU-PROPOSAL-RUNTIME-SHAPE-001"
"aiMenuManagerRules","MenuList/shared","DB_COLLECTIONS.AI_MENU_MANAGER_RULES","constant definition | read/query | security-rule | write","4","firestore.rules | scripts/verification/test-ai-menu-manager-rules.ts | scripts/verification/verify-ai-menu-manager.js | src/constants/database.ts","firestore.rules:148 | scripts/verification/test-ai-menu-manager-rules.ts:184 | scripts/verification/test-ai-menu-manager-rules.ts:189 | scripts/verification/verify-ai-menu-manager.js:1775 | scripts/verification/verify-ai-menu-manager.js:1775 | src/constants/database.ts:0","221c0a71518c8168494c62ff0837912627fdf8b0e7a50965e91e30948443e283","1","firestore.rules | scripts/verification/verify-ai-menu-manager.js | src/constants/database.ts","in-progress","Reserved MenuList server/Admin-only AI Menu Manager rule-ledger namespace. No active reader, writer, query, route, job, DTO or retention owner exists; current AI Menu Manager runtime uses compact sessions and server-backed proposals instead","The dedicated rule path denies every client read and write. The authenticated rules emulator proves a valid current owner cannot create or read a rule-ledger document","No active query or retention path exists, so no composite index, field exemption or TTL policy is justified","AUDIT-AI-MENU-MANAGER-RULES-LEDGER-DENY-COVERAGE-001"
"aiMenuManagerSessions","MenuList/shared","DB_COLLECTIONS.AI_MENU_MANAGER_SESSIONS","constant definition | index definition | read/query | reference | security-rule | transaction/batch | write","8","firestore.indexes.json | firestore.rules | scripts/verification/test-ai-menu-manager-emulator.ts | scripts/verification/test-ai-menu-manager-rules.ts | scripts/verification/verify-ai-menu-manager.js | src/constants/database.ts | src/database/aiMenuManager/index.ts | src/database/aiMenuManager/server.ts","firestore.indexes.json:2082 | firestore.indexes.json:3152 | firestore.rules:126 | scripts/verification/test-ai-menu-manager-emulator.ts:29 | scripts/verification/test-ai-menu-manager-emulator.ts:211 | scripts/verification/test-ai-menu-manager-emulator.ts:348 | scripts/verification/test-ai-menu-manager-rules.ts:76 | scripts/verification/test-ai-menu-manager-rules.ts:77 | scripts/verification/test-ai-menu-manager-rules.ts:78 | scripts/verification/test-ai-menu-manager-rules.ts:81 | scripts/verification/test-ai-menu-manager-rules.ts:86 | scripts/verification/test-ai-menu-manager-rules.ts:92 | scripts/verification/test-ai-menu-manager-rules.ts:98 | scripts/verification/test-ai-menu-manager-rules.ts:102 | scripts/verification/test-ai-menu-manager-rules.ts:106 | scripts/verification/test-ai-menu-manager-rules.ts:110 | scripts/verification/test-ai-menu-manager-rules.ts:114 | scripts/verification/test-ai-menu-manager-rules.ts:118 | scripts/verification/test-ai-menu-manager-rules.ts:122 | scripts/verification/test-ai-menu-manager-rules.ts:138 | scripts/verification/test-ai-menu-manager-rules.ts:171 | scripts/verification/test-ai-menu-manager-rules.ts:177 | scripts/verification/test-ai-menu-manager-rules.ts:180 | scripts/verification/test-ai-menu-manager-rules.ts:193 | scripts/verification/test-ai-menu-manager-rules.ts:197 | scripts/verification/verify-ai-menu-manager.js:1762 | scripts/verification/verify-ai-menu-manager.js:1759 | src/database/aiMenuManager/index.ts:214 | src/database/aiMenuManager/index.ts:214 | src/database/aiMenuManager/server.ts:55 | src/database/aiMenuManager/server.ts:309 | src/constants/database.ts:0","7789a8440f84e1bde74c2f03b3a7aa0e5075bce73b08b677f60bf33e364166c2","4","firestore.indexes.json | firestore.rules | scripts/verification/verify-ai-menu-manager.js | src/constants/database.ts","in-progress","MenuList tenant/store/project-scoped compact AI Menu Manager session truth. Browser direct access first derives the current tenant from the authenticated NextAuth session, proves selected-store membership, synchronizes Firebase Auth claims and builds a deterministic tenant/store/date/project document ID. The client transaction stores capped conversation messages, pending cards/operations, recent receipts, counters and expiry. Guarded server fallback may write the same compact session beside an Admin-only proposal when direct rules deny access.","Create/read/update require an authenticated platform or exact tenant/store admin and deterministic document identity; create refuses overwrite, update freezes tenant/store/project/session/date scope, and delete is denied. Current runtime normalization independently binds every top-level and nested operation/card/receipt to canonical session, tenant, store and project truth. Real rules and Admin emulators pass. The collection remains conservatively in-progress because the complete shared rules file and changed aggregate verifier lack current whole-file review evidence.","Normal browser access is one exact document read or one transaction read/write. Cross-day server recovery is a tenant/store/project/hasPending equality query ordered by updatedAt descending and limited to one, supported by the declared composite. Native expiresAt TTL covers the 35-day rolling retention contract. Current shared index whole-file review remains stale, so this row is not falsely closed from relevant-range inspection.","AUDIT-AI-MENU-SESSION-IDENTITY-001 | AUDIT-AI-MENU-CLIENT-SESSION-CONCURRENCY-001 | AUDIT-AI-MENU-SESSION-RUNTIME-SHAPE-001 | AUDIT-AI-MENU-CLIENT-TERMINAL-RETRY-001"
